### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       25552        26688        23111        26874        24584        25122        29772        
8       126921       126520       129266       145019       149125       148873       147600       
16      212580       215498       217507       237744       233769       233334       229136       
24      289128       285198       291546       317876       325064       319316       317028       
32      362748       353622       362756       401596       400120       397319       398501       
40      426625       424462       421934       454039       477610       471720       465016       
48      468792       464936       473626       501974       523959       521563       529248       
56      526856       530812       520562       590214       568872       581080       568474       
64      568392       582674       571584       581664       615798       626878       634190       
72      595303       576851       621179       685698       676282       675632       653488       
80      624194       627208       658568       703702       716794       725318       728153       
88      696175       663932       688231       752411       768844       722823       734502       
96      727166       708310       713072       784462       763864       816280       818536       
