### params -i65536 -r131072 -u20 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       24692651     23945893     23711916     22765328     38511038     37674082     27518248     26326583     39120004     38415600     
8       76530343     75319692     73245029     78391848     87500875     82898016     85461438     74630330     262444488    256312246    
16      155885146    154419686    156947872    149236625    146200418    139201601    170294563    140156866    282054967    274109473    
24      228499007    219651118    221685213    206273134    202172372    208399927    253490906    213852844    396586063    380354473    
32      270337043    269921288    263825210    261471081    232970100    242469226    303760739    264605394    459662704    443663084    
40      308976608    308165410    301197292    292828982    261344597    255685169    339357804    306098415    527041757    507241760    
48      365017973    345168657    323828846    320695923    270891032    271767038    387551351    334599576    596851393    579397003    
56      350959643    370135788    368100888    362919576    283363664    285492058    421347604    365824487    646426776    632184453    
64      367303472    406840307    394360139    389505427    294681807    248728818    437157299    401263075    686971768    668733001    
72      388841888    370036130    406696483    405071300    264019406    301542140    412961810    400380266    727212089    703911589    
80      396421393    444902058    411094125    379872582    244398260    229180933    307553407    394115547    758715229    728048405    
88      412563677    95345856     413285357    440600786    203676125    216509559    469218509    131764950    790484816    751973593    
96      193655733    106674128    400264474    403741333    161758931    212865365    90053719     37532344     817308239    777199261    
