### params -i16384 -r32768 -u20 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4178951      4493910      4105641      4091072      4185840      
8       24397157     24231422     22743805     21272234     22226632     
16      45817460     49303899     43563597     40521763     39868296     
24      68530673     69299828     61822013     60774695     59890673     
32      88773093     87162421     83455370     78717891     80063434     
40      104953130    104267704    100940042    95985178     92719271     
48      115853968    121353348    113634771    108724210    108861871    
56      129783336    132171608    126570986    123306257    119653370    
64      148405778    140887756    137416194    132789525    134668145    
72      156317014    161157250    149236797    139027641    145811338    
80      159392579    157035529    148267156    150527153    150757575    
88      173212527    168393959    152260163    139283037    137958356    
96      150895777    166495190    133089151    152195420    167262314    
