### params -i1024 -r2048 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       377128       355870       371486       476634       480685       473268       476724       
8       1444196      1467032      1425616      1738786      1711974      1563908      1610088      
16      2611596      2659363      2560201      3011276      3084367      3008690      3060474      
24      3659593      3796012      3842142      4271111      4274128      4182701      4273837      
32      4667414      4463348      4643264      5341330      5456045      5292212      5296529      
40      5247216      5473081      5390961      6215386      6101405      5893522      5931612      
48      6191003      6181026      5793817      6883354      6492612      6451625      6370876      
56      6597100      6675556      6432378      6910911      6982102      6854548      7330773      
64      6426106      6880962      6965936      7150674      7526746      7854609      7253250      
72      7170420      6987268      6932116      7894554      7532528      6758628      7448598      
80      7209590      7376718      7762428      7798981      7941802      7733236      7350803      
88      7404574      7548042      7503220      7924594      8812761      8241917      7725826      
96      7594323      7534260      7855775      8323500      8512612      8291870      8260208      
