### params -i1024 -r2048 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       6085050      5943969      5258263      5087699      5045279      7100751      6582410      
8       13747126     11292587     13122670     12418712     12719078     14787141     13241899     
16      21550563     17118317     19939643     18680623     19364463     23309247     19135542     
24      27691743     19620298     25166010     26158813     25255624     29519782     24154315     
32      31881466     21931394     29621759     28088950     28754465     33461361     28347900     
40      35546830     23878059     31230184     30322898     30277907     35813815     29725401     
48      37952434     25301933     36072274     32140872     32395775     38041307     33134974     
56      37619828     26071603     35313505     33524005     33377656     38385857     32976843     
64      39218839     22506888     36967312     34372231     33986152     27894882     33546771     
72      38396691     23104334     38127263     35257052     34221913     36142442     30309534     
80      28652834     20026981     37733807     35381490     35334743     35627404     17628436     
88      17773796     23411085     37811326     36898546     36046980     23592431     27486067     
96      26422754     18076006     36535431     36076536     33874668     19813717     23386278     
