### params -i512 -r1024 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       29885216     26992693     30049385     27573135     35672049     34308333     29109619     26476111     37079935     34671716     
8       49063085     44237886     48004601     44942217     41864091     39807979     28450708     20705061     145676399    135579944    
16      83724688     79301594     90860195     80047978     71634784     69564290     46226313     21884167     110757400    109868490    
24      125408165    117399262    124888070    120410850    99444313     93403232     48316684     25151676     102745227    87330120     
32      141950855    129580700    154946399    146496514    105928016    99639730     51164074     25253305     97687215     88586587     
40      154354567    139728337    175660442    162400781    109959680    105827192    51222241     27099052     88732662     88336721     
48      166389630    152844053    194689891    179788688    119384743    117481120    55864378     27362803     93284964     81916911     
56      160358369    153745056    209595060    192643314    105364796    116720187    53875382     26707955     97534839     92211083     
64      160025610    153777835    219985942    206160876    48335765     83113071     52804562     27152587     93218593     93709991     
72      147826105    148343485    226215656    205082120    43823238     46134886     51839521     24412455     96986935     87518051     
80      162815738    145614811    238899346    210885335    35475295     42467665     52076906     24157452     93841021     85679839     
88      142626937    118146910    234357246    204798974    28243629     39791693     49871877     23840326     90424356     87326853     
96      51327548     99902796     245238255    214790833    27004862     28972945     28669805     22610359     93125747     88364350     
