### params -i64 -r128 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       9261254      9343974      9364444      13455024     13612830     13688517     13750417     
8       18361568     17305624     18466948     14461560     16553250     14003126     16951636     
16      21653824     21732856     24621040     19223126     20332866     18111606     19250385     
24      25540844     26116592     29045892     21088124     24421563     21390289     22866898     
32      28549763     29287478     33234035     23578570     26296560     23770714     26323408     
40      31244672     29690946     36394232     26118718     29637535     25744864     27599456     
48      33756372     31788116     37527798     27131249     29838230     27606093     30966528     
56      35284358     34342822     41075612     28497636     31757422     29456099     31520576     
64      36103017     36144189     41458268     30355242     32088922     30171354     32486948     
72      38369203     38575726     43061067     30837512     31555982     30363796     34027552     
80      39784695     38234622     44059542     29813752     30863881     27877155     33719107     
88      41192798     39019880     45421238     26907712     31692071     32677740     30788722     
96      40931492     39989710     46248472     27141920     27206930     24299862     27711994     
