### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0_stats                                                                lpdquadtsx-ll_harris_tsx_0_stats                                                                lpdquadtsx-ll_lazy_0_stats                                                                      lpdquadtsx-ll_pugh_0_stats                                                                      
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       1.000000    24517       24517       0           0           0           0           0           1.000000    5263        5263        0           0           0           0           0           0.996207    23115       23203       0           0           88          0           0           0.999359    26506       26523       0           0           17          0           0           
8       0.997969    86491       86667       78452       375         78452       375         176         0.988387    27917       28245       28244       486         28244       486         328         0.993126    92027       92664       56339       966         56442       1015        485         0.989873    90709       91637       55479       958         55960       997         408         
16      0.995755    137915      138503      130240      1606        130240      1606        588         0.981642    41013       41780       41776       1304        41776       1304        767         0.988849    146675      148329      93474       2723        93818       2806        1227        0.990783    144157      145498      91696       2403        91920       2467        1053        
24      0.994956    186818      187765      179489      2858        179491      2859        944         0.975803    56216       57610       57608       2642        57608       2642        1394        0.988686    191558      193750      124079      4487        124243      4619        1896        0.990764    194693      196508      125887      4264        125967      4363        1636        
32      0.994708    224448      225642      217347      3879        217350      3881        1189        0.971922    72139       74223       74220       3790        74220       3790        2084        0.985606    244237      247804      160241      7139        160567      7299        3081        0.986704    241853      245112      158599      7100        158700      7201        3057        
40      0.993576    255821      257475      249177      5175        249178      5176        1652        0.968751    79953       82532       82525       5220        82525       5220        2579        0.982866    279525      284398      185019      10073       185323      10244       4398        0.984164    289608      294268      191641      9976        191910      10098       4269        
48      0.992542    298894      301140      292823      6247        292823      6248        2245        0.964761    89689       92965       92961       6347        92961       6347        3276        0.980630    328266      334750      218916      13707       219275      13916       5916        0.982382    308740      314277      205193      12213       205590      12369       4984        
56      0.991836    319878      322511      314180      7217        314185      7218        2627        0.960000    98856       102975      102969      7651        102969      7653        4117        0.978433    353101      360884      236701      16105       237095      16317       7177        0.980796    343714      350444      229821      15509       229996      15687       6377        
64      0.990837    356959      360260      351945      8396        351948      8400        3294        0.953776    108514      113773      112181      9234        112181      9234        5259        0.977077    373008      381759      251045      18868       251335      19089       8240        0.978343    370752      378959      249415      18463       249596      18644       7845        
72      0.990758    371233      374696      366375      8816        366380      8818        3456        0.952196    110788      116350      116344      9898        116344      9899        5561        0.974519    398353      408769      269614      22750       269979      22998       9803        0.975999    394615      404319      266793      21614       267064      21793       9254        
80      0.990502    389288      393021      384648      10080       384654      10088       3719        0.946637    122297      129191      129185      11578       129185      11580       6892        0.971343    439179      452136      299365      27145       299722      27406       12339       0.974102    407088      417911      276182      24381       276468      24559       10359       
88      0.989544    404492      408766      400418      10652       400426      10657       4261        0.944347    124226      131547      131542      12289       131542      12289       7321        0.970588    442463      455871      302024      29057       302423      29340       12726       0.972309    419872      431830      285710      26717       286092      26929       11364       
96      0.988852    443243      448240      439905      12020       439913      12030       4979        0.938295    135365      144267      144261      14322       144261      14322       8902        0.968462    465166      480314      318943      32808       319328      33093       14478       0.970509    453145      466915      309875      30845       310179      31057       13254       
