### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       2665613      2583237      2570806      2455866      2459264      2673983      2751706      
8       12397377     13252041     11930259     11831490     12205391     12726237     13394306     
16      23846491     25176434     22558362     22129715     23560031     24628589     25103974     
24      36383245     36448186     32754186     33144728     34491796     36182054     38554344     
32      45566070     45211487     42267936     43497602     43320338     46028823     47379342     
40      53213471     52957252     50116156     51022802     50165644     54591342     53572861     
48      59480990     58089201     54615192     54024428     57430547     60679442     57693320     
56      66301729     61872710     58328019     59284870     59392461     63404541     66948519     
64      70326702     67858249     61874246     63363452     64890519     70125195     70521421     
72      64821359     70826158     67621738     68017852     69801480     71245478     74559335     
80      69735189     64046260     63208479     69604470     72561897     77088779     76897877     
88      60585207     69885048     54979223     65531117     81277207     78579015     83861409     
96      66432860     58882571     74082761     54626353     58425336     88279249     80780265     
