### params -i16384 -r32768 -u60 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4335492      4267453      4028071      3924013      3633731      
8       16433125     17110739     16542865     16360054     15906834     
16      33680413     29875869     31456102     31307929     28100618     
24      44059537     51451389     44458654     42885710     40040882     
32      63467557     60076552     57585616     55629247     53433535     
40      72795998     69332508     69591384     65313129     65656597     
48      80897344     80143971     78565378     73643049     73502487     
56      89407375     91137047     88183423     82765990     80331102     
64      96784497     91293190     94655511     83891160     92929996     
72      102060041    99557519     101916691    95844092     91038919     
80      96456206     102630552    103874255    93808917     100834904    
88      112781542    98869967     108530195    92335669     95711089     
96      96546372     117491226    98516717     87373301     106291071    
