### params -i16384 -r32768 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       3064745      3006937      2878576      2787148      2795259      3384378      3463870      
8       10865877     11214744     10562613     9945141      11039238     11828710     12110365     
16      20266010     20063569     20229038     19331557     20043708     22138687     22366590     
24      30146212     29377617     28413962     28687044     29259207     30166422     33172847     
32      37962163     36960535     35575173     35967559     35003565     40385747     39939548     
40      45643612     43090839     41003332     40689539     40204191     46003989     46017167     
48      49125355     47206768     46048421     43493014     47217077     51539243     52533577     
56      52442066     50891625     49419225     49017799     50191918     55035430     53682276     
64      48666457     50465707     51657892     53085071     53032363     52639483     60165465     
72      62496409     54441540     57212364     53389861     55741576     62033005     62112173     
80      44198632     51161433     60279025     55579680     58383339     57777946     60395270     
88      57194907     49734914     59068598     51931043     54367463     66712575     54321541     
96      50796924     47225222     59926871     54354805     52130735     41133481     63059749     
