### params -i16384 -r32768 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       3867441      3777616      3596708      3744085      3595637      3700198      3903827      
8       22935316     23464632     20678221     21494723     21422462     22997141     23808780     
16      41177957     41604254     38085110     40159550     40374122     41622360     43619178     
24      58993174     59451613     52858698     56523814     55361286     62131893     61527883     
32      76513210     74374711     62929138     73238037     71480258     75741389     77376899     
40      86944512     83607804     74332127     82342455     85971242     92811925     89245466     
48      97831694     95646137     81458021     89249059     90715039     100765593    98115941     
56      104632847    101982298    87838231     99302209     101481498    110324012    108681051    
64      113789285    104903874    95208426     106058575    102486591    118530571    114750815    
72      123820876    127078380    102208412    110890679    113884241    118784973    124880768    
80      129619329    127791224    109120860    117620038    123239344    118194916    121840317    
88      130418776    113177217    113712901    119532461    124125419    120300587    127822049    
96      113207511    111642759    116894127    122638180    128666430    91976694     134871886    
