### params -i65536 -r131072 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       2882495      2867315      2695553      2808929      2669163      2896335      2826281      
8       17988831     18162310     16934656     17379759     17330845     17551938     18547726     
16      34659095     35049927     31721670     32546419     33227749     33449091     35182732     
24      50374474     49608554     44720115     47391510     46368112     49310643     50705274     
32      63592275     64470008     56025681     59066173     61535918     62085641     64475430     
40      75603481     72666993     64429179     65027975     72945199     72777974     73168184     
48      82927984     79806300     75631686     78004174     77861473     82422493     83830985     
56      86679613     92105931     78226960     83318457     86095799     87871428     92373487     
64      97022565     98307045     82944885     90442294     89911717     101782214    102863693    
72      100587183    103883440    90258267     97957058     94599355     104467314    104061307    
80      99842372     108034522    95832917     96967700     105936240    99975656     109033949    
88      111695078    117492228    95476532     106712237    101811112    105416527    114888566    
96      113780751    121902311    93111743     106535772    112879971    103085831    107805398    
