### params -i512 -r1024 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       47055448     45908893     46981802     45476380     62800279     61699223     50465537     49844073     61185170     60418428     
8       115390184    116759092    137972053    125996884    117688354    116704109    81317109     67703716     236951099    227426218    
16      221768817    215995078    243017699    233550723    210367421    205607327    104010931    88897432     183110492    180671152    
24      330727306    299237834    360239737    347333660    271029346    286033730    138893821    102507020    145914008    130174458    
32      379642487    361284815    437669272    440566791    314070536    337272764    139384464    120826641    133227594    119779774    
40      439309242    406113120    517015114    505234158    354816780    357632499    147003226    117732250    138171479    117076374    
48      466414587    445541759    568050670    568209057    383374610    378065264    155451317    125910713    136975049    141652179    
56      499384871    456180966    630902121    599047787    391423109    387209168    152779663    131075585    139347032    139923203    
64      514899197    416307911    634306818    658972436    370567144    362312856    155501168    126909635    132745709    125852497    
72      424719474    440059475    699597353    682786582    397559192    364076056    165859285    127763497    129510790    126041669    
80      444125952    423416553    722802467    701472888    409267123    384350109    142674153    123373721    126888801    123741440    
88      201128454    272822093    742896666    662045194    334963431    370300379    138557537    126786230    115218110    114341872    
96      292580980    288730199    759707659    677846251    299650096    278852180    147937410    114930218    120629151    118076279    
