### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       21031476     20464598     19844856     19040531     32458991     31311236     22208124     21665497     33473142     32271679     
8       58023695     53121240     55818879     50837727     61594264     53280099     57469127     53006815     214875284    207512130    
16      110423990    104575931    109797708    101363483    120965320    100676520    112059065    94400859     225460156    203277252    
24      166790550    158678890    163723845    149516164    142474796    134417186    166132688    144742712    290637577    271407587    
32      193680892    188604961    189512231    184770756    159747337    156095530    200130612    180100471    328540623    310737114    
40      225375368    217905362    216874519    204411933    174516223    169215067    232923400    205403798    369580616    352619226    
48      241720959    237063358    241217675    227068902    186022785    174064812    240075947    218604201    405989186    396621595    
56      264053904    201520943    256909864    240440397    185413232    183898065    265529393    238199806    421650832    413607177    
64      272708252    262669127    285976250    265364611    183991189    173870096    291974880    252369821    439744863    425406761    
72      238502175    296083385    292422727    295618837    167468445    133673310    223514343    260576081    458315418    441413713    
80      280083878    278336063    313336095    295489987    87194409     132301278    96046823     246085306    466377036    447858491    
88      263772146    145636567    283127648    305613791    55997983     73589665     165621598    33197436     475992746    459232152    
96      49615132     32456021     325848786    315052412    33226483     59687192     22062251     18987875     489188821    465689404    
