### params -i65536 -r131072 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3062380      3080363      3085401      2777474      2858923      
8       12640662     13012442     11283050     11180309     11527014     
16      22184587     23017521     23274405     21039608     22714459     
24      35739272     39675382     36680400     35461175     34084183     
32      46957930     46033849     48172521     43964559     45011201     
40      57354836     55241946     54464262     50958994     52203397     
48      64200807     64591224     63865925     58154423     60560541     
56      68525505     67561193     68590238     65509492     64678846     
64      71836554     73147356     76845081     70380762     72065002     
72      77597570     72694774     73109879     73959635     70225145     
80      84305202     62490611     67709906     69126223     71579872     
88      78959883     82161498     76411014     72942715     77721887     
96      74638320     80138578     77542472     76346687     74242326     
