### params -i8192 -r16384 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       31721142     30489240     30552595     29838091     52752656     52084275     37897737     37108672     45726777     45077112     
8       123894446    122511914    118216458    115658994    138090737    123021046    146366910    128425577    310221278    306195691    
16      236717478    245461514    232998499    223398865    245915110    222758784    273049482    240974644    416788995    408408079    
24      344217697    344726417    330918987    321541901    306597154    303569668    381451056    332191101    581790662    583369337    
32      430023122    436357242    416064653    406226970    354086671    351588609    483715301    417100746    705976899    697972971    
40      493023876    511280175    483239422    496072549    377396801    379189333    539962711    474145221    816567951    814947834    
48      567157639    552524212    519363316    534478428    407070377    401304143    577784385    532245454    938703522    937155683    
56      528795186    616671526    583082897    604161456    436800199    436384232    622231960    548230997    1043980087   1026127716   
64      627230236    634233916    643949907    648505888    423511316    452488766    718602631    626374008    1128047438   1121369895   
72      650606039    599475298    692545228    676250027    429644404    454072078    634792623    638346685    1206490200   1202011207   
80      539962997    626363178    651455963    668276127    257780487    354173847    549029503    629485377    1293217141   1270389996   
88      387634741    687550811    686754010    728397657    385281383    328124510    580634517    499122967    1365688304   1334379911   
96      493360362    627154772    735696233    673514419    305327774    426998160    225462547    436687729    1435849808   1395532007   
