### params -i8192 -r16384 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       26930        23337        26888        25446        30098        26238        29787        
8       137979       140590       133910       149437       148928       146773       152396       
16      221490       225627       223428       249204       251046       248229       245195       
24      301646       309074       303475       329754       323565       333616       339023       
32      384692       374223       376574       402918       417952       398511       426414       
40      444722       433374       449500       474942       472436       455000       484566       
48      515550       489968       486611       553886       521070       526376       542747       
56      565885       545230       552326       596952       595694       572866       589568       
64      579690       588048       575594       642819       635094       641474       628248       
72      653102       628667       630083       664486       680604       682842       660788       
80      654637       647612       633522       697180       716094       730036       728216       
88      723314       673018       728262       767258       770144       768693       732210       
96      748426       711029       690464       801106       785342       751246       818760       
