### params -i64 -r128 -u80 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       8021952      8437832      8534459      10962906     11489448     11621064     11770609     
8       8387225      8311034      8809784      7390492      7847462      7450976      7319279      
16      10896244     11476204     12182884     9504060      10221007     10943685     9667046      
24      13615297     13786132     15097716     12025088     11952602     11433628     11822512     
32      15166980     15376742     16851816     12671303     13060435     12939744     13659674     
40      16430266     16218887     18688857     14120712     13146278     14046834     14147532     
48      18041276     18617078     19818094     15048679     13644212     15649546     15191766     
56      18539994     18794519     20198598     15309294     13798152     15273979     15304082     
64      19121403     19909364     21720354     14905464     12041478     15778796     15756531     
72      19768182     19660194     22367243     15284744     11536378     15993693     15206277     
80      20490720     20102376     22974778     15756285     10274349     16261030     14762334     
88      20993889     20502972     23293362     13179476     9343938      12583802     11828830     
96      21493504     21227506     23839242     11486364     7732692      13361538     11229562     
