### params -i65536 -r131072 -u60 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3241427      3207965      3127330      2979957      2887632      
8       14218697     14172717     12373184     12238365     12884695     
16      26773764     27482194     26198562     24357534     24212861     
24      45030231     40825318     39802325     36654176     38058401     
32      52348720     52586379     51240322     47396838     50451550     
40      61769210     62919158     61262706     57910201     57622696     
48      71590608     70472405     67894331     66519385     68101125     
56      77238558     77608028     75713087     73343912     67748150     
64      81987100     81761983     80154307     74543919     76065216     
72      78890272     86884269     88201134     83681919     84270867     
80      89277767     87509331     90998385     86226092     85102470     
88      88364618     95761568     94751698     85941064     83254645     
96      84568526     109536678    80025916     83765617     87562755     
