### params -i1024 -r2048 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       360050       369168       362952       482760       481749       472292       477522       
8       1340322      1278094      1435013      1498219      1451138      1598452      1646236      
16      2562836      2647847      2625872      2954715      2961089      2856423      3068048      
24      3728872      3843806      3654696      4263003      4427245      4347515      4170884      
32      4670900      4902342      4748788      5310960      5106410      5398249      5335712      
40      5416732      5558864      5298316      6031147      6267178      5991596      6197662      
48      6018736      5857763      5949172      6589592      6646819      6443888      6603372      
56      6348045      6467922      6534514      6963672      6891812      6614390      7247416      
64      6675794      6869419      7048614      7315765      7620867      7684305      7498997      
72      7303657      7445440      7511926      8201964      7691153      7640324      7656196      
80      7630538      7482204      7637489      8264750      8123302      7882166      8064233      
88      8017468      7559567      8034957      8575666      7930095      7938999      8426949      
96      8206126      8244076      8458792      8842758      8377574      8604874      7927755      
