### params -i64 -r128 -u60 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       7999460      8538867      8613637      11434804     11895380     12008158     12111743     
8       9871911      10250656     10635151     8845246      9392050      8534958      8535616      
16      13262675     12748088     15110490     11017512     11909462     10934234     11259770     
24      15426471     15335252     17795456     13146157     14103886     13319418     13923968     
32      17772686     17968118     19874417     14791094     15639258     14626804     15572746     
40      18934708     19113000     21720216     15493346     16165370     15989794     17424040     
48      20593872     20992546     22557918     16743082     16477542     16745144     17361553     
56      21746023     21799737     24455375     17655120     16549032     17619080     17976898     
64      21899660     21967606     24535188     17602166     15507466     19063150     17379129     
72      23462198     22658936     25617289     17119674     15930688     16058635     17153222     
80      23651277     23378851     26699242     17542800     14903560     14023694     17710019     
88      24315193     23814756     26904824     17960568     14148943     14397791     17334970     
96      25173989     24619886     27566471     15364414     11790891     18535630     15603506     
