### params -i1024 -r2048 -u60 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       377628       361250       379592       477312       476874       466873       472784       
8       1417784      1417224      1380740      1630713      1640350      1557524      1557252      
16      2437914      2519952      2480157      2888902      2949881      2897008      2917112      
24      3592320      3581657      3629636      3929997      3948737      3891239      4027369      
32      4511476      4418395      4515010      5171093      5156501      4850490      4982824      
40      5345132      5168309      5189215      5641190      5719346      5683601      5778881      
48      5934030      5674332      5794706      6080156      6227538      6303392      6223590      
56      6084834      6166552      6006519      6835036      6528440      6458985      6445152      
64      6727353      6924987      6612684      7050801      7064423      7143808      7055004      
72      6870862      6837278      6992473      7126116      7085143      7440774      6872279      
80      7289900      7418761      7181684      7753806      7308796      7731337      7153431      
88      7797282      7717268      7772009      7647414      7400350      7863632      8196872      
96      7878622      7884105      7698869      8192144      7284454      8282556      7277976      
