### params -i1024 -r2048 -u20 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       11267925     12186037     8998688      9073963      9386229      
8       40120777     40446532     33066973     33228558     31918336     
16      66128136     66083382     60194308     56460109     57385400     
24      98612269     100003349    90204017     87123702     87292980     
32      130983561    128681073    108729324    107816917    109016946    
40      143092762    146345981    134093323    126588235    126494132    
48      160484878    166579479    153312613    147873932    144871892    
56      168349648    186584032    173585775    164349401    164164053    
64      184546137    188652309    178967081    180257335    176013419    
72      195647858    208445232    202873736    188667540    183965560    
80      212020014    214194066    208140036    197593552    200766881    
88      233415341    182079167    197962896    210555616    192895758    
96      216967194    197424276    181278059    217770200    170735547    
