### params -i65536 -r131072 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       2464019      2464278      2300130      2251370      2254043      2577231      2520561      
8       9277649      9833646      9887285      9119130      8895561      9634327      10079181     
16      17318001     18925176     17788696     16899718     17318653     18205734     20160490     
24      27827304     27999325     25810028     25357433     26025640     28069739     29866396     
32      36232126     33725296     32288151     33293621     33540565     37525744     37519193     
40      39739972     38994095     37814538     37574345     39088169     42243238     43064500     
48      45985711     46270606     42889126     42223508     41744386     46330706     49714711     
56      48185220     49167447     44362678     45108060     45962542     49302258     50381893     
64      53068103     52040411     49087504     48679758     50819117     56134278     57431248     
72      57289664     53201952     50911056     53656948     49149425     54838927     57564168     
80      51555396     49307363     49083562     51427788     53491887     53727471     62370268     
88      45023556     53954334     58732847     55040954     54954747     54119904     55833559     
96      43564928     53864651     52910618     50932380     51834224     55691522     49554983     
