### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       25371257     24250412     24116695     22955018     38050106     37540165     26675233     26425252     35680314     34411287     
8       69378258     63552408     68475741     60153003     68857334     61283323     69659926     57850864     215354642    209740943    
16      134274836    123112316    128872773    116990042    109402840    104633467    133928480    106777228    261924254    241800441    
24      186931286    177812936    186355023    167143861    148689853    146751113    193715175    156294532    321582947    306171382    
32      226618398    217577028    217731669    211529264    170839031    164652123    228612165    187822660    375578545    348043140    
40      261308836    265914386    256757348    237818789    189883740    171328926    254271482    213097581    419688192    401577015    
48      275973049    284246552    277088732    259098164    193615272    192638165    275254933    231025221    449957563    446347877    
56      304295847    294972024    292914354    287453206    188140296    189134189    281449801    245975772    492750481    470800168    
64      306717074    289145606    303212005    314281578    131376159    176929103    307106756    259014950    502239300    486867990    
72      277936732    284434254    332070637    317108836    103585029    156560051    280088985    242799165    520704848    505848285    
80      331482835    255929413    354921598    343800975    76681466     78222052     262233464    237005579    534033082    508665739    
88      333698093    307046601    344252474    355726758    66972383     66536921     285533705    245111997    538126050    510996793    
96      234700037    218765774    368973075    370545056    45293608     58859797     56494643     185654849    546689652    518398283    
