### params -i1024 -r2048 -u80 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       362052       356342       367982       476196       475390       462604       470292       
8       1327602      1363258      1367554      1550034      1648558      1524950      1653152      
16      2442313      2483167      2525988      2939771      2872697      2773960      2852134      
24      3565062      3538336      3516096      4127812      4123942      3937188      3750818      
32      4377598      4449591      4371460      4970822      5084232      4715509      4926375      
40      5066630      5085353      5203946      5587208      5609624      5580790      5505246      
48      5416284      5587686      5704120      5750165      6044212      5855742      6001193      
56      6008726      6067420      6148031      6503544      6404290      6517878      6198486      
64      6509050      6461074      6505301      7015584      6950016      6722256      6697429      
72      7087860      6975308      6936022      6895108      7391450      7166034      7225867      
80      7147888      7614872      7560683      7648682      6709851      6996508      7337298      
88      7715892      7415246      7387368      7660834      7630668      7636090      6818283      
96      7890266      8154068      8172414      7421937      7971859      6529332      7500894      
