### params -i16384 -r32768 -u20 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       3673721      3312420      3267083      3554463      3561125      3896649      3820276      
8       19608825     19400132     18256717     18367282     18338166     19479821     20339416     
16      34622589     35846852     33314733     33791919     33777571     36538143     37829122     
24      49975178     52026595     47231959     48268068     47946179     50802256     54452432     
32      62536299     63483699     57995944     60587014     57729400     65540431     65673838     
40      74413051     73152225     67623663     67769152     69312745     76636700     78869014     
48      81868553     81126006     73279327     76397693     81041003     83214906     83155777     
56      90298356     89960875     84579907     82704561     85275851     84963571     94482266     
64      91369607     95404136     84239117     88615372     91724891     96788873     101394669    
72      84587294     99973875     93007269     92499559     95442760     99332032     101679226    
80      96531208     102992020    93567866     97741160     97610164     96835283     99880458     
88      83460451     102153944    96083213     100570126    104448967    69087433     106995601    
96      102861603    100156100    102590029    106306060    110576055    78640947     102540869    
