### params -i65536 -r131072 -u20 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       2805079      2819500      2759076      2617970      2701364      2770802      2931773      
8       15656782     15996842     14753285     14754375     15412985     15666961     16612630     
16      30184105     29611948     27540555     28267271     28694182     29094052     30465856     
24      42957474     43166300     41294924     41634884     42294917     43691937     45152642     
32      51920646     53556407     50821315     53152945     53874983     54124909     57335232     
40      67032779     66315714     58693494     57881198     61610376     66760290     66569501     
48      71172957     72272157     63913868     64983861     64268657     70141713     75005726     
56      82490453     82956160     71079208     72522329     71989008     79313634     76692603     
64      86714017     86063710     74793154     78004074     77283146     86606964     88458639     
72      90900530     89329642     82846246     88986432     83707156     87717947     92540353     
80      85418100     84484239     85080928     90724369     89125188     91446322     98825534     
88      87872533     88792972     89935294     97416979     91851734     102734081    103425778    
96      95945321     87361531     88959728     92994412     95071146     97595734     102486967    
