### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-bst_tk_pf2_stats                                                                     lpdquadtsx-bst_aravind_cas_pf2_stats                                                            lpdquadtsx-bst_aravind_tsx_pf2_stats                                                            
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999997    1746507     1746512     0           0           5           0           0           0.999998    2803621     2803627     0           0           6           0           0           0.999998    2238078     2238082     0           0           4           0           0           
8       0.991577    5253017     5297640     3994726     49010       4010033     55255       23071       0.994674    8801554     8848685     4483413     41265       4511455     43872       16482       0.990420    6338985     6400298     4932606     48913       4959866     53506       29460       
16      0.983326    9462988     9623454     7345731     175648      7398294     199290      84261       0.988507    14996610    15170964    8568123     128712      8669495     138289      63405       0.980140    11772106    12010635    8721269     200376      8840069     214076      106029      
24      0.975252    13339080    13677574    10112610    382239      10232274    430305      170764      0.983391    23289375    23682712    11848961    331674      12094894    352090      126988      0.970729    17620055    18151359    12565655    454580      12839190    483566      228783      
32      0.966646    16249970    16810678    12719350    580658      12921613    659423      279680      0.977009    29904839    30608567    15803088    563906      16236122    597674      236926      0.960007    21567412    22465882    16237276    722479      16690347    770457      397421      
40      0.956719    20244655    21160499    15433893    916236      15799331    1026593     440049      0.971074    33379332    34373627    18504244    747275      19098727    792951      354136      0.951213    25707230    27025731    19183236    1027559     19862343    1097068     569885      
48      0.948739    21847527    23027954    17759016    1107966     18202752    1268144     576513      0.965204    38853163    40253855    21690188    1034875     22519571    1097795     508389      0.941456    30611504    32515057    22456641    1441238     23470089    1537563     793780      
56      0.942646    24811336    26320959    20237399    1396729     20814976    1585225     743550      0.958657    44150409    46054437    25269063    1342420     26394634    1430721     690156      0.932767    33902405    36346060    25162673    1803458     26465223    1926944     1017619     
64      0.934053    25145280    26920622    20783774    1597146     21433072    1840824     882366      0.953248    48578033    50960523    28742610    1638107     30115765    1752311     895131      0.923216    37240112    40337376    28528594    2268001     30116270    2425249     1352340     
72      0.926072    27711594    29923813    23031411    1886483     23909884    2185675     1034554     0.949468    46684094    49168696    27599215    1652248     29041467    1772727     921871      0.915776    38160670    41670321    29651791    2470598     31475990    2663562     1492488     
80      0.923089    28015058    30349259    23875975    2000920     24732421    2323730     1154945     0.946726    48433022    51158433    29050682    1769210     30645517    1912181     987605      0.908083    39345869    43328501    31442839    2739301     33460436    2958433     1745903     
88      0.922999    26270013    28461581    22292308    1851087     23113618    2148146     1073199     0.939256    55028442    58587272    33770616    2254941     35826035    2437557     1320795     0.907200    37914157    41792490    30234142    2679946     32186593    2894054     1711774     
96      0.912134    28897891    31681617    25022342    2317285     26047435    2707452     1368466     0.938585    53026552    56496290    32466184    2208496     34461919    2391060     1291439     0.907747    38407276    42310557    30759220    2737159     32701415    2948026     1750219     
