### params -i8192 -r16384 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_pf2_stats                                                              lpdquadtsx-ll_harris_tsx_pf2_stats                                                              lpdquadtsx-ll_lazy_pf2_stats                                                                    lpdquadtsx-ll_pugh_pf2_stats                                                                    
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       1.000000    24322       24322       0           0           0           0           0           1.000000    5082        5082        0           0           0           0           0           0.998606    20778       20807       1           0           30          0           0           0.996240    19609       19683       0           0           74          0           0           
8       0.996789    85059       85333       77044       652         77068       655         247         0.989319    25749       26027       25980       370         26024       370         234         0.992033    62260       62760       54246       905         54347       960         344         0.995064    61893       62200       53758       688         53827       749         177         
16      0.994153    139074      139892      131515      1991        131584      1994        746         0.984050    40967       41631       41597       1282        41629       1288        626         0.987925    99488       100704      91753       2714        91961       2808        914         0.988344    98527       99689       90827       2271        90952       2366        942         
24      0.991423    178470      180014      171580      4663        171666      4668        1453        0.979153    57207       58425       58307       2331        58419       2337        1100        0.982888    134578      136921      127404      5334        127671      5453        1957        0.988138    132698      134291      125046      3913        125185      4064        1303        
32      0.989870    225525      227833      219421      6731        219470      6739        2251        0.971706    72362       74469       74386       3741        74459       3747        2028        0.983091    164474      167303      157384      6915        157741      7067        2320        0.982341    158320      161166      151367      6409        151576      6569        2477        
40      0.988260    250005      252975      244499      9817        244527      9835        2924        0.973642    78273       80392       80198       4279        80366       4295        1935        0.977836    183139      187290      176789      9480        177197      9665        3558        0.978143    184022      188134      177647      9228        177912      9437        3638        
48      0.986976    277586      281249      272703      12320       272758      12333       3595        0.967509    84361       87194       86964       5279        87181       5293        2602        0.975867    213950      219241      208274      12603       208568      12842       4758        0.975495    212810      218156      207155      12642       207346      12874       4923        
56      0.984460    308712      313585      302570      12968       302618      12987       4806        0.960699    99050       103102      102911      7008        103086      7032        3853        0.970834    234834      241889      230099      16039       230375      16295       6523        0.971973    226980      233525      222325      15401       222495      15609       6167        
64      0.983606    335679      341274      332785      14305       332855      14323       5507        0.955475    103691      108523      108265      7883        108511      7904        4565        0.967737    248959      257259      244904      18484       245312      18751       7625        0.970035    241623      249087      237449      17675       237614      17953       7021        
72      0.982152    368977      375682      367180      16629       367223      16647       6644        0.950398    110250      116004      115699      8955        115995      8974        5439        0.964023    264716      274595      261478      22472       262001      22774       9054        0.966347    269832      279229      266561      21789       266761      22119       8867        
80      0.983142    339012      344825      336334      15014       336386      15033       5742        0.950500    115213      121213      120874      9763        121207      9789        5641        0.960280    283346      295066      281458      26118       281814      26428       11054       0.963721    267766      277846      265066      23212       265247      23527       9584        
88      0.981103    367280      374354      365836      18444       365890      18461       7003        0.947150    117081      123614      123325      10160       123604      10186       6228        0.959659    282702      294586      280719      26497       281195      26790       11115       0.962827    279809      290612      277436      25107       277653      25438       10255       
96      0.979229    390730      399018      390516      19815       390590      19843       8186        0.941449    127251      135165      134851      12169       135153      12197       7584        0.952896    320418      336257      320959      34720       321388      35076       15054       0.961056    278168      289440      276070      26617       276292      26934       10733       
