### params -i1024 -r2048 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-sl_herlihy_pf1_stats                                                                 lpdquadtsx-sl_fraser_cas_pf1_stats                                                              lpdquadtsx-sl_fraser_tsx_pf1_stats                                                              lpdquadtsx-sl_pugh_pf1_stats                                                                    
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999629    412004      412157      7           0           160         0           0           0.999998    1118766     1118768     2           0           4           0           0           0.999997    944707      944710      0           0           3           0           0           0.999904    457321      457365      2           0           46          0           0           
8       0.824578    1679130     2036350     1939602     784365      1942979     786234      351974      0.947681    4832180     5098953     2744650     309665      2801865     349296      169927      0.940897    4047094     4301314     2298565     272345      2354940     311894      158296      0.865800    2218236     2562064     2160587     656512      2163822     658365      338740      
16      0.766181    2490375     3250376     3061079     1387390     3071562     1392895     744013      0.911529    7282650     7989484     4418304     722483      4596318     838032      413271      0.898984    6175572     6869505     3767003     651473      3944059     768493      399857      0.815671    3408085     4178259     3514863     1297508     3523538     1303638     755369      
24      0.729289    3017943     4138199     3875670     1878370     3895528     1888098     1090670     0.880553    9274439     10532521    5905038     1208747     6228869     1422966     720032      0.872902    7593447     8699086     4747843     987730      5050443     1181722     609047      0.791158    4373013     5527356     4600790     1816760     4618088     1828590     1125215     
32      0.702844    3718698     5290928     4888042     2604578     4924024     2624798     1516028     0.858901    10534706    12265336    6949695     1562232     7427117     1865277     950163      0.845823    8767127     10365207    5700840     1343966     6151096     1618415     873375      0.764986    4941149     6459134     5427813     2265178     5450673     2282032     1478271     
40      0.672363    3762659     5596172     5171162     2904789     5219892     2929967     1759605     0.844732    11095228    13134611    7446155     1748883     8035878     2103708     1094835     0.825535    9264438     11222349    6220576     1569356     6792245     1910680     1044918     0.748222    5314347     7102634     5934556     2610599     5968303     2634134     1731005     
48      0.656676    3815135     5809764     5344215     3142428     5400580     3172700     1907992     0.825692    11999270    14532373    8310320     2072662     9076666     2525114     1314305     0.812322    9801740     12066319    6757524     1715806     7468830     2129602     1139477     0.731448    5755988     7869308     6551847     2994054     6596399     3024377     2038445     
56      0.636461    4127346     6484839     5961423     3564678     6033270     3600791     2249533     0.815134    12444412    15266714    8774165     2227928     9664202     2744393     1415800     0.796852    10273165    12892191    7239791     1928710     8077206     2407500     1302821     0.718136    6156015     8572208     7077914     3333381     7137331     3371868     2318289     
64      0.736315    6418255     8716727     5649972     3460916     5725303     3500046     2184011     0.809496    12599660    15564816    8913570     2295659     9863577     2833316     1477492     0.781949    10875698    13908455    7885004     2137870     8890809     2718781     1446041     0.709819    6263079     8823486     7319420     3492529     7383050     3534688     2454618     
72      0.618268    4219671     6824984     6132250     3800537     6220910     3843912     2473278     0.795447    13330178    16758096    9622242     2534095     10771911    3163891     1648453     0.774576    10887119    14055582    7936176     2193034     8999632     2793970     1504071     0.700226    6553664     9359359     7708043     3775020     7782713     3823602     2682443     
80      0.806130    10302520    12780223    5692846     3582291     5781303     3627309     2344228     0.794369    13178642    16590071    9541754     2487060     10719247    3126952     1594044     0.765314    11263329    14717274    8374865     2287110     9602460     2976502     1536958     0.696149    4083551     5865919     4856687     2393033     4903089     2424521     1704478     
88      0.763436    8272194     10835482    5759932     3668672     5851615     3714268     2426009     0.786499    13375904    17006893    9808579     2605637     11070873    3295290     1679042     0.754299    11600351    15378984    8748342     2425759     10132784    3187076     1632874     0.693221    4655701     6716046     5555666     2734036     5610216     2771351     1968480     
96      0.831490    11677798    14044422    5151255     3302017     5253021     3370940     2195935     0.780069    13712535    17578621    10144234    2693147     11535859    3440076     1727532     0.758076    11214607    14793511    8384148     2312028     9688128     3025360     1561592     0.714317    1847946     2587012     2128503     988697      2147853     1001841     706572      
