### params -i8192 -r16384 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_pf2_stats                                                              lpdquadtsx-ll_harris_tsx_pf2_stats                                                              lpdquadtsx-ll_lazy_pf2_stats                                                                    lpdquadtsx-ll_pugh_pf2_stats                                                                    
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       1.000000    10400       10400       0           0           0           0           0           1.000000    614         614         0           0           0           0           0           0.998466    9761        9776        1           0           16          0           0           0.998981    9801        9811        0           0           10          0           0           
8       1.000000    20244       20244       46          9           46          9           0           0.996173    3644        3658        95          60          95          60          14          0.993383    16813       16925       4091        190         4128        194         71          0.988516    17129       17328       8978        192         9078        198         93          
16      0.999698    29791       29800       307         152         308         152         8           0.993939    7051        7094        246         138         246         138         43          0.989689    22748       22985       6702        572         6752        576         183         0.984903    22312       22654       14225       338         14333       351         221         
24      0.999579    37970       37986       541         260         541         260         16          0.994082    9406        9462        484         227         486         228         53          0.986996    28235       28607       8720        898         8781        900         309         0.978923    28471       29084       20506       708         20660       728         439         
32      0.999454    40240       40262       531         206         531         206         22          0.991093    11238       11339       641         322         642         322         100         0.981696    32447       33052       9589        1473        9663        1474        530         0.979953    29672       30279       21778       791         21886       807         483         
40      0.999110    47146       47188       977         518         977         518         42          0.985914    12459       12637       908         577         912         577         174         0.981082    36302       37002       14583       1886        14664       1894        611         0.975060    36321       37250       28567       1381        28638       1399        840         
48      0.998581    52090       52164       1256        648         1258        649         71          0.982646    13533       13772       1111        733         1112        733         238         0.976523    38724       39655       15544       2209        15652       2221        811         0.970185    38625       39812       30921       1676        30994       1706        1084        
56      0.998204    55036       55135       1492        764         1495        765         95          0.975981    15522       15904       1451        987         1454        987         379         0.976109    39305       40267       15878       2401        15981       2415        845         0.967330    42311       43740       34728       2084        34832       2110        1299        
64      0.997853    59501       59629       1789        969         1790        969         127         0.975234    15830       16232       1519        1063        1525        1064        395         0.971183    41958       43203       17714       2961        17835       2971        1114        0.964268    43097       44694       35731       2221        35896       2244        1409        
72      0.997877    59684       59811       1822        994         1830        994         119         0.977148    16976       17373       1596        1074        1600        1078        389         0.970288    43204       44527       18354       3136        18474       3149        1190        0.961435    43478       45222       36174       2316        36339       2351        1544        
80      0.997885    57097       57218       1583        844         1588        844         116         0.973447    17194       17663       1693        1166        1700        1167        461         0.962827    46544       48341       21203       4186        21356       4202        1628        0.960732    45409       47265       38098       2563        38205       2588        1724        
88      0.997506    61999       62154       1977        1095        1982        1095        150         0.976946    15849       16223       1446        1020        1449        1020        371         0.962436    44786       46534       19822       3868        20020       3885        1533        0.962594    45832       47613       38488       2426        38606       2455        1634        
96      0.997360    61193       61355       1838        1017        1843        1018        156         0.970965    18493       19046       2002        1471        2006        1472        548         0.966724    44652       46189       19519       3655        19635       3666        1410        0.963940    42931       44537       35489       2160        35620       2181        1454        
