### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ht_lazy_pf2_stats                                                                    lpdquadtsx-ht_harris_pf2_stats                                                                  lpdquadtsx-ht_java_pf2_stats                                                                    lpdquadtsx-ht_copy_pf2_stats                                                                    lpdquadtsx-ht_clht_pf2_stats                                                                    
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999937    3691140     3691373     0           0           233         0           0           0.999958    4731585     4731782     0           0           197         0           0           0.999998    4777732     4777741     0           0           9           0           0           0.999852    5247983     5248762     1337        0           2115        1           0                       
8       0.994865    11586640    11646447    9298530     106375      9309880     107697      47135       0.999129    14146707    14159040    10263474    12316       10267822    14818       5483        0.946207    10450570    11044701    7138643     444671      7412653     504992      259800      0.986563    11191636    11344067    10423583    369519      10450672    371202      123659                  
16      0.992092    21221053    21390216    17682536    344131      17716743    347595      131492      0.998347    27030063    27074824    19541046    48622       19555318    56628       22483       0.889961    17454418    19612572    12890526    1523322     13928498    1740028     903476      0.977404    20674939    21152915    19499656    1070479     19557402    1074105     416604                  
24      0.990363    32191839    32505096    24640383    505923      24750734    513420      195409      0.997621    42881530    42983799    28743596    125911      28778179    144429      49168       0.837294    23110105    27600953    17538391    2979599     19804928    3424793     1779117     0.970969    30568186    31482136    28511903    2039445     28642816    2047279     775203                  
32      0.987380    38737200    39232321    30118941    792304      30330740    805116      270510      0.996669    51956786    52130432    35382862    171800      35457385    198633      72290       0.800750    26737840    33390998    20586182    4222201     23984354    4869080     2608107     0.961172    36256842    37721484    34527237    3289130     34763288    3307042     1210679                 
40      0.985958    45856648    46509721    36419680    1200113     36669190    1218373     385303      0.995892    58363845    58604616    41844214    225779      41943860    264742      102162      0.769295    28624256    37208415    22841020    4981809     27365066    5828345     3213577     0.952541    40035859    42030566    38812679    4401586     39168130    4433734     1607108                 
48      0.984308    53336446    54186738    44793077    1821276     45026357    1845247     593041      0.995160    63697087    64006861    42481636    242560      42648163    288757      97050       0.731925    29872302    40813357    25361849    5506220     31509471    6629347     3670306     0.942808    41778471    44312819    41615480    5663238     41927539    5698602     2186925                 
56      0.981492    54742052    55774314    44423124    2055457     44872149    2090224     548470      0.994066    75137599    75586092    56136981    398118      56310417    461108      212067      0.697565    30305778    43445069    26816122    6063193     34416360    7429040     4173206     0.935708    46756135    49968753    46372856    7051125     46908350    7111727     2616522                 
64      0.980277    53884800    54968951    45075355    2426775     45445747    2464945     675589      0.993576    76678059    77173791    57078418    414066      57280710    487114      220392      0.667368    29337931    43960675    25608998    6317548     34430483    7730889     4387918     0.926747    48019360    51814968    48114177    8431980     48653908    8558728     3129129                 
72      0.978359    60269601    61602765    50796153    3153840     51184143    3195779     903235      0.992747    83319650    83928377    61768278    484874      62038175    565104      258600      0.627081    28220203    45002462    25817255    6267441     36526001    7868940     4472014     0.918135    38010891    41400117    38064468    7065745     38433146    7225736     2860557                 
80      0.977155    51790531    53001372    43928820    3005201     44312890    3046675     785297      0.992232    88589279    89282846    67442691    550103      67734990    653934      297437      0.518515    14551549    28063893    12480767    2258719     23424140    3293974     1533716     0.910246    48509292    53292519    49983743    10174464    50502982    10332781    4105671                 
88      0.975173    54184500    55563987    45992937    3469348     46446925    3521335     873512      0.991583    95773461    96586454    73234725    630572      73586270    748023      343997      0.481620    11291254    23444302    9201184     974434      19893776    1822592     612298      0.904870    38806941    42886739    38771811    8267014     39186487    8482510     3449626                 
96      0.973458    52295100    53720985    44396762    3692537     44880360    3751024     883800      0.990840    91799850    92648547    70059974    605622      70437341    746493      330459      0.461979    10090270    21841406    8352233     896670      18634945    1790870     574224      0.905622    23219410    25639178    22874708    4958960     23129119    5089110     2035207                 
