### params -i65536 -r131072 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-sl_herlihy_pf1_stats                                                                 lpdquadtsx-sl_fraser_cas_pf1_stats                                                              lpdquadtsx-sl_fraser_tsx_pf1_stats                                                              lpdquadtsx-sl_pugh_pf1_stats                                                                    
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999704    212557      212620      1           0           64          0           0           0.999996    531279      531281      0           0           2           0           0           0.999987    390602      390607      0           0           5           0           0           0.998601    212639      212937      0           0           298         0           0           
8       0.992371    980388      987925      900642      323049      901111      323225      6892        0.999013    2629335     2631934     1456188     3688        1456764     4146        1565        0.998795    2207701     2210364     1233829     10568       1234427     11001       1632        0.980495    1048484     1069342     904836      189776      905695      189895      19880       
16      0.985754    1805065     1831151     1720501     618499      1721774     619292      24020       0.997846    4993581     5004362     2829635     17016       2831860     18472       7100        0.997513    4025562     4035598     2280915     26298       2283120     27663       6466        0.975190    1936048     1985303     1720243     383486      1721122     383782      48080       
24      0.980992    2609718     2660285     2520412     915542      2523012     917306      46203       0.996985    7029974     7051231     4038028     30727       4042944     33713       13355       0.996259    5886671     5908774     3344864     49044       3349629     51780       14602       0.968177    2799707     2891730     2478250     589783      2480756     590499      88801       
32      0.974079    3213871     3299394     3112114     1215907     3117581     1219288     76675       0.996473    8665505     8696177     4940110     49108       4947983     53753       18154       0.995503    7113512     7145647     4040945     74292       4049589     78901       18882       0.959779    3660238     3813627     3211086     804368      3216833     805909      146101      
40      0.967731    3729533     3853895     3622104     1493286     3629959     1497902     111891      0.995203    10590912    10641959    6127989     72255       6139708     78699       32884       0.994272    8272215     8319872     4736155     91897       4748392     97777       29540       0.957667    4383504     4577276     3878990     987145      3885262     988877      185768      
48      0.960400    4158796     4330277     4078391     1763095     4088801     1769863     154303      0.995051    11099816    11155023    6392519     77885       6406802     85348       33461       0.993200    10028953    10097617    5775005     122911      5792344     131979      42257       0.950398    4835374     5087736     4242300     1121131     4250864     1123299     241630      
56      0.955658    4352964     4554940     4283705     1883214     4295692     1890412     182791      0.994347    11332670    11397095    6522259     85689       6538093     94307       39973       0.992519    10248967    10326214    5869635     148629      5890188     158059      47264       0.948546    5532720     5832846     4873593     1299909     4883594     1302524     287510      
64      0.951755    5064065     5320765     5031735     2156657     5044164     2164134     236794      0.993787    12518261    12596519    7272630     96308       7293490     106916      46790       0.992116    10238364    10319721    5867289     143384      5889606     154015      48409       0.943854    5875066     6224550     5127011     1399779     5139766     1403026     333482      
72      0.945724    4901186     5182469     4855167     2183573     4872095     2193428     254500      0.993140    13485366    13578521    7842601     109765      7868351     123120      54050       0.991376    12058293    12163192    6968181     165096      6998740     179025      60411       0.937552    6535796     6971127     5646178     1592828     5661999     1597056     415282      
80      0.943751    5147364     5454152     5098133     2289838     5114333     2299716     280710      0.992971    13351562    13446078    7756699     111266      7782372     125074      55035       0.990728    12359456    12475129    7144698     182776      7179339     198209      65599       0.940304    6194975     6588270     5370211     1461359     5384627     1465918     374320      
88      0.942169    5266925     5590215     5169071     2334402     5187032     2345318     294413      0.992483    14810413    14922587    8642504     129111      8674566     145060      64163       0.990449    12145872    12262997    7012154     184227      7047346     200144      66016       0.939596    6319316     6725567     5452384     1472301     5468458     1476914     385564      
96      0.932456    5694636     6107134     5690660     2630229     5711249     2641755     380383      0.991695    16162583    16297936    9459216     149316      9498373     169756      75756       0.989346    14114292    14266281    8189079     233028      8235533     254081      84482       0.936672    6934137     7402953     5986319     1651784     6003588     1656692     446639      
