### params -i64 -r128 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       8853384      9022807      12138100     12570490     9046582      
8       6072431      9467582      4224628      11980596     13763788     
16      4735324      12756560     4395907      14520247     17597343     
24      4864509      14495159     4687037      18923059     21513390     
32      5060449      15270463     4811105      20876675     24897465     
40      4761000      14703877     5150942      21609865     26117350     
48      5803025      16512176     5221095      20586737     28916820     
56      5818978      13711087     5241791      20965241     29374039     
64      5690030      13845546     5002995      19979339     30098647     
72      6021763      14157150     4579555      17722956     30391952     
80      6230596      15565558     2315031      14493005     30830809     
88      5993198      14906524     3559329      20545503     32199501     
96      6242878      15003515     1140081      9322863      32685871     
