### params -i8192 -r16384 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadlf-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       28291        27634        25488        30416        27400        
8       154892       157875       165362       162556       149132       
16      247434       246885       267832       268032       253874       
24      342186       341260       358134       368540       340890       
32      405254       419544       432059       449611       402848       
40      468056       465914       507330       509479       461654       
48      506399       520923       548604       590772       518046       
56      562426       601811       618090       618156       603408       
64      570364       613252       630747       646655       623054       
72      620259       670306       649370       648602       662070       
80      678595       731058       721769       702970       649496       
88      688046       713542       736168       744229       722253       
96      701170       746436       768760       714016       683364       
