### params -i1048576 -r2097152 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       63           57           0            0            0            
8       0            0            0            0            0            
16      0            0            0            0            0            
24      0            0            0            0            0            
32      0            0            0            0            0            
40      0            0            0            0            0            
48      0            0            0            0            0            
56      0            0            0            0            0            
64      0            0            0            0            0            
72      0            0            0            0            0            
80      0            0            0            0            0            
88      0            0            0            0            0            
96      0            0            0            0            0            
