### params -i65534 -p40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ././bin/lpdquad/lb-bst_tk       ./bin/lpdquad/lf-bst_aravind    ./bin/lpdquad/tsx-bst_tk        
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       2879420     100.00  1           2769342     100.00  1           2959394     100.00  1           
8       22626263    98.22   7.86        21755190    98.20   7.86        22943086    96.91   7.75        
16      42741117    92.77   14.84       41909416    94.58   15.13       42225595    89.18   14.27       
24      64648750    93.55   22.45       61551227    92.61   22.23       64279109    90.50   21.72       
32      84093742    91.27   29.21       81275084    91.71   29.35       83869356    88.56   28.34       
40      103619924   89.97   35.99       102962061   92.95   37.18       102458838   86.55   34.62       
48      121640957   88.01   42.24       119776340   90.11   43.25       119248260   83.95   40.29       
56      139033194   86.22   48.29       138094592   89.05   49.87       138405911   83.51   46.77       
64      156937232   85.16   54.50       150277002   84.79   54.26       156847972   82.81   53.00       
72      172428306   83.17   59.88       170959902   85.74   61.73       168432302   79.05   56.91       
80      188538246   81.85   65.48       181453784   81.90   65.52       167256959   70.65   56.52       
88      195467774   77.14   67.88       197217900   80.93   71.21       187945986   72.17   63.51       
96      209472260   75.78   72.75       194998222   73.35   70.41       202482510   71.27   68.42       
