### params -i65536 -r131072 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-sl_herlihy_0                                                                         lpdquadtsx-sl_fraser_cas_0                                                                      lpdquadtsx-sl_fraser_tsx_0                                                                      
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999260    696561      697077      1           0           517         0           0           0.999997    891097      891100      0           0           3           0           0           0.999998    522829      522830      0           0           1           0           0           
8       0.995031    3956856     3976616     1914792     759953      1916797     761382      16326       0.999207    5404355     5408643     3073947     5870        3075181     6860        2064        0.998899    3465562     3469383     1635156     3674        1636689     4644        1318        
16      0.991419    7110766     7172315     3503506     1417466     3508512     1420611     53398       0.998359    9985830     10002248    5695910     24647       5700511     28030       8434        0.997887    6561046     6574937     3092583     15725       3097053     19143       6003        
24      0.988655    10303597    10421828    5111246     2091487     5120111     2096935     103918      0.997467    14669186    14706432    8431191     54362       8441525     61712       19562       0.996824    9542185     9572583     4501429     33760       4511492     40927       13168       
32      0.985421    12483728    12668425    6174733     2688073     6190665     2696630     160208      0.996939    17548879    17602758    10118388    70439       10135574    81700       25432       0.996239    11165999    11208152    5246391     43687       5261323     53539       17369       
40      0.981468    15422875    15714091    7753186     3410564     7772956     3421030     260980      0.996071    21843423    21929584    12710657    106530      12738811    124330      40207       0.995123    14253187    14323038    6763653     66527       6789797     83821       26413       
48      0.977769    16721755    17101944    8468843     3815725     8491846     3827733     345178      0.995743    22743644    22840868    13172210    113038      13206031    133076      43365       0.994316    15791093    15881364    7511799     81537       7546506     103365      33736       
56      0.974246    17367953    17827074    8835768     4113092     8862798     4126779     418404      0.995127    25300163    25424059    14743383    133471      14788902    160156      51692       0.993970    16426993    16526650    7805061     85515       7845165     109641      35427       
64      0.971378    20154463    20748321    10353452    4747906     10384848    4763131     547237      0.994684    26839093    26982518    15672095    148189      15726080    179227      58402       0.993284    17385561    17503119    8271030     97641       8318781     126504      40944       
72      0.966524    20639207    21354056    10656936    5067492     10694654    5085566     659057      0.994279    29033981    29201052    16989566    167345      17053970    204797      65215       0.992727    18960165    19099067    9054814     109020      9114068     143331      45337       
80      0.964712    22131325    22940858    11424791    5391346     11465452    5410022     750196      0.993752    31957827    32158743    18737245    195326      18817509    238945      77033       0.992091    20931861    21098721    10019702    128079      10091477    170063      53101       
88      0.960640    23141133    24089289    11940407    5739101     11991137    5759939     876588      0.993214    33686508    33916664    19779104    214453      19871680    265882      86151       0.991639    21272506    21451867    10180987    131731      10258845    177706      55528       
96      0.956456    24260092    25364558    12682129    6181151     12733541    6204780     1029425     0.992844    34758825    35009346    20423123    223410      20525105    283147      88802       0.990825    22890565    23102539    10976278    150542      11068878    205994      63922       
