### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadlf-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       23906        26948        29753        29393        27628        
8       132082       131396       141728       147666       133454       
16      215236       214148       236854       235027       215029       
24      300426       295696       326560       325398       297228       
32      363696       370945       404038       395636       360770       
40      437036       441319       454318       469964       430545       
48      475519       469842       509914       515263       467138       
56      525858       526844       587712       564512       511797       
64      566550       574370       628346       638588       574739       
72      568614       599774       689038       668753       626870       
80      664678       679363       680179       716900       655464       
88      670441       677427       705544       702282       660584       
96      669634       681893       758818       792362       747568       
