### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       1509         1449         1475         1513         1490         
8       11164        10873        11472        11367        11176        
16      22199        22386        22591        22795        21872        
24      32336        32609        33343        33366        31443        
32      41161        40572        43719        40232        41092        
40      50292        47003        53329        49715        51860        
48      60682        59378        56200        56579        49323        
56      64956        66256        66790        65831        66751        
64      68375        77465        69730        79795        68955        
72      83590        63283        73211        88099        79396        
80      78551        87823        87361        78955        77362        
88      80287        87093        85083        88454        89205        
96      92425        84680        97539        95729        83080        
