### params -i65534 -p40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk lpdquadlf-bst_aravind lpdquadtsx-bst_tk 
#cores  throughput   throughput   throughput   
1       2845029      2812742      2933633      
8       22656310     21952284     22292908     
16      42963883     41648277     42921776     
24      64027913     61886559     63352350     
32      83250336     79852073     82123167     
40      102719988    96037246     101519142    
48      111994688    119775228    119209046    
56      136146816    137696716    138953136    
64      154072836    156010843    155964114    
72      173446088    170368945    173645220    
80      184880129    184828414    191838502    
88      204532816    194582848    201620756    
96      221005849    205318291    215166800    
