### params -i65534 -p60 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       ././bin/lpdquad/lb-bst_tk       ./bin/lpdquad/lf-bst_aravind    ./bin/lpdquad/tsx-bst_tk        
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       2752168     100.00  1           2724934     100.00  1           2815693     100.00  1           
8       21099269    95.83   7.67        19213966    88.14   7.05        21330666    94.70   7.58        
16      42359954    96.20   15.39       39773580    91.23   14.60       42051754    93.34   14.93       
24      62410655    94.49   22.68       58672187    89.71   21.53       60888505    90.10   21.62       
32      81733381    92.81   29.70       79654942    91.35   29.23       79893094    88.67   28.37       
40      100611144   91.39   36.56       98693013    90.55   36.22       96794624    85.94   34.38       
48      116067585   87.86   42.17       113146390   86.51   41.52       121732395   90.07   43.23       
56      129953560   84.32   47.22       128868089   84.45   47.29       130759400   82.93   46.44       
64      155671427   88.38   56.56       148797034   85.32   54.61       140081594   77.73   49.75       
72      170199651   85.89   61.84       171897343   87.62   63.08       172438845   85.06   61.24       
80      176671479   80.24   64.19       164850474   75.62   60.50       157991498   70.14   56.11       
88      193619806   79.95   70.35       179207661   74.73   65.77       179464120   72.43   63.74       
96      216400688   81.91   78.63       210353277   80.41   77.20       185077757   68.47   65.73       
