### params -i512 -r1024 -u60 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       32259999     29454538     32038024     29474479     38358653     37044929     31294691     29260358     39247851     37251390     
8       57113500     52258071     54981338     52693055     51210225     46418693     36744631     25994357     155882194    149433142    
16      101708605    89736987     100557928    99886465     83203143     77776488     51450948     28169750     127302807    109511007    
24      149307794    134259802    156284440    141201430    113374080    110486753    62072305     31858579     112659641    97806170     
32      168201099    154631829    186572674    168024348    127190985    114889342    63786675     34908839     104888781    91205658     
40      185277673    165610763    208576996    191629615    137251573    131477710    66457538     33542709     99716891     102654945    
48      198611193    180265828    227241768    210673224    135512956    137473256    67800827     35161411     111753379    104057958    
56      199111992    180650408    239564325    228901067    137370690    139097749    67101091     34726770     99722529     96673172     
64      194567696    178779162    259980736    237134453    125297747    131918423    69921185     37650144     106746966    102367411    
72      184836080    169980016    269173886    252516777    77204865     94782874     66721885     34682963     105262249    95492783     
80      192541701    173550505    267416000    265534180    46301776     50893382     64139709     28526367     99638000     95989889     
88      158181427    125786248    274912093    235277278    44552995     52326847     63533251     30330142     98220368     93439773     
96      177894941    114942482    263690878    242858991    31662368     43408872     32336541     17826854     99108642     92919455     
