### params -i1024 -r2048 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadlf-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       400565       394540       481456       478171       394886       
8       1346510      1316802      1647650      1674511      1411568      
16      2721806      2716830      2948968      3103375      2645726      
24      3913808      3754438      4327272      4357488      3914097      
32      5062565      4749572      5538086      5627372      5079958      
40      5641158      5677254      5972886      5979304      5736887      
48      6062794      6200506      6273014      6327204      6464562      
56      6180168      6658200      6960368      7158521      6857364      
64      7201726      6816888      7520783      7982105      6628184      
72      8011542      7496841      7922736      7512966      7549366      
80      7625204      7679694      7617426      7915796      7153808      
88      7843798      8023511      8355550      8333078      7943434      
96      8353862      7862148      8329660      8243922      8662530      
