### params -i16384 -r32768 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4005369      3865994      3490213      3125518      3446427      
8       22868041     23937674     21082043     22275338     21981444     
16      41949459     42546436     38266352     40008922     40678778     
24      60729848     60691533     52511044     56276564     58282606     
32      78387828     77184825     67647017     73831164     72648948     
40      88587666     89329556     76840902     86012197     81380972     
48      102082882    98747974     80168298     97096361     96379668     
56      106310738    107532951    83863263     100894026    105094156    
64      115366089    117557031    94800938     113047302    110905656    
72      132495774    123729884    100476132    117080357    115490420    
80      129939001    126899929    99931582     121355466    132584295    
88      128949732    132436248    109244204    138038966    135109561    
96      139969554    129953342    100681126    135766361    143911882    
