### params -i65536 -r131072 -u60 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       2494019      2515810      2398392      2440064      2326920      2762002      2685398      
8       11138598     10905776     10367020     9803963      10175113     11951696     11279062     
16      20848661     20964903     19490651     19582839     20611731     20926432     22452846     
24      30976600     30974827     28773541     28521572     30223963     30606058     32995999     
32      37493473     39168922     37371198     36343033     38309630     38751639     39841384     
40      44957592     46631788     42973567     41475068     43138448     46192147     47877462     
48      51091052     51086164     47219262     47380127     47178164     51698691     53589838     
56      54961563     56340807     50231564     48592930     50675404     52974162     58238407     
64      55187414     59166661     55441891     53721260     56088215     56105774     60588937     
72      61131174     53952701     61854190     55322786     59939849     62005334     66678211     
80      63737115     60529018     55690443     59430566     58741571     66709951     71577638     
88      52820452     53030227     48457708     61175419     56592348     64099093     75562376     
96      48851280     42980838     50556451     58640311     65747713     70058371     74306672     
