### params -i512 -r1024 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ht_lazy_0                                                                            
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999942    22666209    22667515    0           0           1306        0           0           
8       0.982085    40067870    40798795    20853399    1126569     20884602    1129793     696498      
16      0.966569    69978359    72398693    37869855    3779409     37946487    3788403     2334708     
24      0.953471    100113256   104998762   54429380    7575947     54550427    7594103     4746303     
32      0.940953    119359288   126849428   66801400    11547972    67040868    11586947    7211697     
40      0.928237    128966570   138937068   76475008    15282300    76760419    15337419    9629968     
48      0.919952    139712268   151869149   84071891    18482205    84510717    18570213    11630047    
56      0.910564    142608485   156615496   87629717    20997296    88142026    21106492    13385506    
64      0.899755    148536091   165085082   94557760    24675351    95118549    24806043    15857510    
72      0.894618    152892940   170903063   98273358    26939553    98939252    27100201    17183581    
80      0.886140    133257842   150380132   87477338    25458710    88113657    25621318    16323363    
88      0.879497    129025106   146703287   86200488    26270472    86825693    26440678    16882770    
96      0.871841    118398347   135802690   80256265    25581094    80878661    25760013    16603028    
