### params -i65534 -p40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-bst_tk                                                                               
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       1.000000    131063      131063      2           0           2           0           0           
8       0.999977    131071      131074      46673       8           46675       8           1           
16      0.999962    131070      131075      55842       17          55844       18          2           
24      0.999947    131069      131076      47715       56          47718       57          3           
32      0.999924    131069      131079      52152       54          52154       55          7           
40      0.999878    131064      131080      53505       55          53510       56          10          
48      0.999886    131066      131081      54087       54          54092       56          8           
56      0.999893    131067      131081      46870       35          46875       38          6           
64      0.999916    131066      131077      54935       62          54937       63          8           
72      0.999908    131066      131078      52679       61          52682       64          6           
80      0.999893    131068      131082      45446       68          45452       71          5           
88      0.999901    131066      131079      48833       52          48836       56          6           
96      0.999878    131064      131080      53755       96          53761       96          10          
