### params -i512 -r1024 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       44139578     43795944     42548604     
8       91347716     95669177     86936760     
16      177931134    182104284    166488560    
24      249720324    263564940    230761357    
32      291540288    321855792    271595282    
40      325729510    375238058    306047924    
48      352909756    410895722    329251874    
56      369709042    448691767    339650208    
64      383829604    470724454    363450220    
72      391536414    502063538    351071749    
80      383667020    521536745    362481224    
88      288396300    551630018    357862970    
96      337586954    553518718    336871432    
