### params -i65534 -p60 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       ././bin/lpdquad/lb-bst_tk       ./bin/lpdquad/lf-bst_aravind    ./bin/lpdquad/tsx-bst_tk        
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       2998904     100.00  1           2931422     100.00  1           2838743     100.00  1           
8       22083155    92.05   7.36        21121712    90.07   7.21        22206964    97.79   7.82        
16      42278473    88.11   14.10       41500808    88.48   14.16       42589616    93.77   15.00       
24      63371947    88.05   21.13       60522868    86.03   20.65       63283282    92.89   22.29       
32      83632948    87.15   27.89       82162854    87.59   28.03       83541392    91.97   29.43       
40      102832058   85.72   34.29       99317502    84.70   33.88       101851045   89.70   35.88       
48      121785572   84.60   40.61       119512210   84.94   40.77       123095651   90.34   43.36       
56      138002519   82.17   46.02       136625348   83.23   46.61       137207160   86.31   48.33       
64      157374727   82.00   52.48       151924298   80.98   51.83       158234753   87.10   55.74       
72      174702306   80.91   58.26       169723086   80.41   57.90       173854297   85.06   61.24       
80      186632976   77.79   62.23       188495576   80.38   64.30       179632386   79.10   63.28       
88      191343074   72.50   63.80       204350398   79.22   69.71       192648022   77.12   67.86       
96      209743093   72.85   69.94       210912145   74.95   71.95       209747842   76.97   73.89       
