### params -i1024 -r2048 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       5879017      5969596      5220593      5018324      5017230      6759083      6557617      
8       13793374     11876196     12926668     12690472     11948530     14862710     13169468     
16      22972405     16965824     19667575     19766955     19989339     24151343     19677208     
24      28155742     20822740     25965158     25136597     24672580     29579156     24397058     
32      31734375     22500784     29230601     27904572     28421977     32570898     28263765     
40      34754003     24840905     31626247     30368048     30481469     35047940     30646975     
48      38435851     24932493     34282023     31853611     32286445     37935908     30009627     
56      38471037     25887003     34977021     33322873     33047465     37303577     33002574     
64      37575981     26765020     36976147     34012042     34133717     38322887     30258391     
72      30150601     27414363     37288728     35301835     35623974     36425582     30668703     
80      38452638     26001663     37530158     35565561     34623587     34643631     23858972     
88      30191882     17302063     38715012     35143420     35948408     33259676     30156573     
96      26324808     20275273     36048311     35162120     36593590     35262543     17137549     
