### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       21954051     20333775     20394861     
8       57223796     54443462     53830128     
16      124152616    107618267    123641633    
24      163691056    161449508    151700719    
32      203203475    198330313    193610766    
40      234233618    228297054    225317796    
48      248369575    245763719    255149928    
56      282487572    265499107    277423010    
64      272434442    287618190    295319737    
72      281862030    301394676    282537518    
80      266594480    337153086    303234044    
88      339459038    344204132    256861743    
96      79273016     319315811    68922842     
