### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       2702308      2632744      2430630      2427850      2479312      
8       12385466     13163091     11959736     11994245     12221954     
16      24072249     25527084     23256628     22963014     23250075     
24      35536564     37247172     33160850     33489944     34599544     
32      45136873     46792528     42300384     43170854     40725376     
40      53282688     53503956     49435202     48832603     48713566     
48      59280651     58357501     55018385     55192648     57556278     
56      65220660     67800049     61080047     60568384     59740045     
64      72532030     69716506     63777894     66688101     67804834     
72      77596122     73958258     68692235     73161203     70293101     
80      74142119     74595462     71358812     76768879     74005901     
88      82195270     81013466     74618634     76483197     81571787     
96      85009276     85971766     75621362     82298138     81728512     
