### params -i64 -r128 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadlf-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       9066191      9216992      12546885     12858615     9271527      
8       13149809     11738094     10545755     11381125     13243245     
16      16608790     15426318     13850147     15037160     17385209     
24      19877532     18596363     15393729     17215394     21662607     
32      22330463     20903008     17734347     19424334     23150880     
40      25325101     22688520     19470348     20821531     26784539     
48      26547186     24173174     20316989     20747260     27600284     
56      28032310     25308792     21112137     21717736     29475824     
64      29222550     26391866     21256060     19403656     31352359     
72      30592104     27739495     22254462     21743771     31413258     
80      31337986     28294618     22354184     20475507     31846756     
88      32047884     28814961     19011005     16545296     32602883     
96      33632918     29762652     20557897     16916716     33531576     
