### params -i64 -r128 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadlf-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       9536168      9660269      13573268     13702614     9659764      
8       18402297     17528564     14650753     15975281     18989218     
16      22978731     21065520     18559303     21148282     24142685     
24      27381026     25100100     21799929     24902133     28788496     
32      31024061     27926334     23968119     27285005     33374923     
40      33193872     30850482     25677921     29686876     35536153     
48      36078503     32957828     27764222     30248527     38855467     
56      38602034     33666156     28554238     31758328     40001134     
64      39713923     35784890     30832416     33051522     41795304     
72      41652070     36936746     26354434     32663030     42581816     
80      43514031     37669670     30455434     32394759     44839676     
88      44121442     39120156     29973110     31250604     45676147     
96      45575261     40083636     28949774     33832346     46389262     
