### params -i65536 -r131072 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       21932278     20344424     19563293     
8       61895056     57091404     11651322     
16      107072917    136479361    11516014     
24      167165458    162677598    10260084     
32      201945007    197235850    11913671     
40      226489674    219286490    11741443     
48      259873695    252490736    12661061     
56      246515888    258395987    12869449     
64      273679475    279486054    13585835     
72      211147328    303541598    13848621     
80      181115525    312074260    14615498     
88      281216834    336882962    14587924     
96      100442461    303379586    15888920     
