### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       24614078     23662540     24569875     
8       66780382     64579388     63916781     
16      126170244    126108466    123991750    
24      186044096    184713958    180337562    
32      236859761    227580024    222673480    
40      275976088    256707572    264447326    
48      294632030    294040376    287411728    
56      303000931    303617314    313302714    
64      321378287    337302454    311087320    
72      370284688    352730934    345707258    
80      359157711    368860802    345265171    
88      300064369    393892052    374777208    
96      349203902    365706557    346114074    
