### params -i1024 -r2048 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       12341742     12059421     9803438      9735994      9332038      
8       50262391     52590050     43816553     42516091     43181100     
16      92019929     100620396    77383933     74250660     75039985     
24      132189283    135082154    113087208    106795230    106431062    
32      159097681    169119984    142849107    132422415    137740554    
40      200218545    198172871    166795418    164667711    160154668    
48      211717973    211550101    192780018    188567369    189705786    
56      231884988    242057421    213013329    215865047    217804810    
64      249465556    254471182    238999454    238902073    230276517    
72      261311019    276673437    253906978    243961725    240865085    
80      296705576    295291362    244591766    265792326    262509571    
88      285930753    301333042    279286020    277276230    257189414    
96      278453728    284738793    264306321    257837915    253987019    
