### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ht_lazy_0                                                                            
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999923    13489876    13490919    207         0           1250        0           0           
8       0.997219    33802737    33897013    16986196    156010      16999387    157648      79447       
16      0.996566    67590219    67823134    33828676    419588      33871555    422397      187227      
24      0.995752    97532075    97948170    50202978    824244      50283841    828989      330487      
32      0.995001    128426274   129071516   65865238    1310399     66048611    1320652     451616      
40      0.994494    149444716   150272164   75256585    1887743     75506949    1903832     560995      
48      0.993722    159610879   160619238   80665187    2510622     81138436    2544916     500816      
56      0.993585    177881552   179029971   91737313    3425918     92240535    3462982     608133      
64      0.993363    191750977   193032085   100475342   4209329     100931978   4245106     788695      
72      0.992986    184510687   185814048   94995368    4626755     95698087    4694425     532972      
80      0.992871    191930531   193308563   100730454   5387800     101330881   5452989     712416      
88      0.992621    199845986   201331595   105004911   6318612     105711092   6400074     697966      
96      0.995649    38732749    38902028    19777471    550179      19859891    566774      70264       
