### params -i16384 -r32768 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4449691      4318182      3980847      4091293      4014613      
8       28516996     29295799     26364101     25463819     25011520     
16      54583898     56480127     49028924     49361314     48393281     
24      77192060     79563315     73775887     70665871     71017606     
32      104617787    104358788    96015337     92074763     90258953     
40      120127566    121264935    110127786    111476026    111555579    
48      142403721    140318919    130605905    129706789    128499798    
56      158760396    159549445    144847643    147778246    146097877    
64      166850155    177792235    167486816    153130916    159561236    
72      187712047    186270130    177647198    178678445    175246097    
80      188406700    210090225    175128432    179525164    179972130    
88      209570759    197691905    183205178    185574423    155566325    
96      211428870    175548655    193002818    167021307    153729077    
