### params -i65536 -r131072 -u20 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3187815      3209211      3033805      2988955      2982322      
8       19030416     19588520     18146424     16883621     17594702     
16      36440784     37118617     34379636     32970245     33862302     
24      53297082     57124251     53337168     48276846     50519738     
32      74035703     71128529     69066944     64892825     65438964     
40      85723925     85061167     82004747     79331560     76768360     
48      98671362     96787129     98091464     95732381     88920000     
56      98867553     107839032    
