### params -i8192 -r16384 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       20484336     19114007     19905506     17906448     31383020     29295613     21108357     19683448     29837062     27983752     
8       49600018     46074340     45754625     42284703     44969282     39954181     42731104     38449687     164393378    155898231    
16      95966073     85729366     89459128     79346871     72762085     77742278     86743615     69102688     202341215    196583558    
24      140596202    127809753    129451347    119903846    104619430    97967985     121832310    96893297     247837532    226917263    
32      165753314    152977267    154817386    145934092    113931017    105325731    138794238    122846886    277422892    262599095    
40      180870254    175280804    173670188    167645380    119338406    118149256    145958765    138222352    298961027    290447492    
48      204466881    193095188    192523204    185927576    108838602    124142379    159359380    148718058    320659523    316093622    
56      217808107    216189680    214333550    203511372    57202220     92349607     173327672    150322013    344346227    329973716    
64      211925546    223590189    219881653    217618560    42253775     47183294     176921277    153384895    347425234    327172220    
72      213367432    237535623    238801293    221529005    39844835     42631838     167286042    158642221    354538952    331807698    
80      174157709    177679094    210059704    214853950    32454242     37826075     153265315    136933778    347823123    328764305    
88      230063071    166008270    236784666    229377141    26484202     31842416     181950277    122422555    342588686    330653097    
96      101232739    95560926     190863317    200598356    30160111     24961220     77580129     18935398     350506980    328747716    
